YEAR,LocationAbbr,TopicDesc,MeasureDesc,Response,Resposta,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education,GeoLocation,StratificationID1,StratificationID4,SubMeasureID,DisplayOrder
2010,AR,Cigarette Use (Youth),Smoking Status,Current,6.9,0.7,5.5,8.3,2387,Overall,Middle School,"(34.748650124, -92.274490743)",1GEN,1EDU,YTS07,7
2007,CT,Cigarette Use (Youth),Smoking Status,Frequent,7.2,0.8,5.6,8.8,1959,Overall,High School,"(41.56266102, -72.649840952)",1GEN,2EDU,YTS09,9
2001,GA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,52.7,5.8,41.3,64.1,100,Female,Middle School,"(32.839681093, -83.627580346)",3GEN,1EDU,YTS06,6
2008,MN,Cigarette Use (Youth),Smoking Status,Ever,14.8,1.5,11.8,17.8,2220,Overall,Middle School,"(46.355648736, -94.794200503)",1GEN,1EDU,YTS08,8
2004,IA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,42.9,4.6,34.0,51.9,85,Overall,Middle School,"(42.469400913, -93.816490556)",1GEN,1EDU,YTS01,1
2009,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,41.3,2.6,36.2,46.4,444,Overall,High School,"(35.466220975, -79.159250463)",1GEN,2EDU,YTS01,1
2002,CT,Smokeless Tobacco Use (Youth),User Status,Ever,6.0,0.6,4.8,7.1,2619,Overall,Middle School,"(41.56266102, -72.649840952)",1GEN,1EDU,YTS11,11
2002,WI,Cigarette Use (Youth),Smoking Status,Current,8.7,1.9,5.0,12.4,611,Female,Middle School,"(44.393191174, -89.816370742)",3GEN,1EDU,YTS07,7
2007,NH,Smokeless Tobacco Use (Youth),User Status,Current,12.4,1.5,9.4,15.4,757,Male,High School,"(43.655950113, -71.50036092)",2GEN,2EDU,YTS10,10
2006,WI,Smokeless Tobacco Use (Youth),User Status,Current,0.6,0.3,0.1,1.1,947,Female,Middle School,"(44.393191174, -89.816370742)",3GEN,1EDU,YTS10,10
2006,SC,Cigarette Use (Youth),Smoking Status,Ever,32.6,2.4,27.8,37.4,1294,Overall,Middle School,"(33.998821303, -81.045371207)",1GEN,1EDU,YTS08,8
2009,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,49.1,4.4,40.4,57.8,146,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS02,2
2010,IN,Smokeless Tobacco Use (Youth),User Status,Ever,2.0,0.5,1.1,2.9,1058,Female,Middle School,"(39.766910452, -86.149960194)",3GEN,1EDU,YTS11,11
2004,MS,Cigarette Use (Youth),Smoking Status,Ever,41.5,2.5,36.5,46.5,1290,Male,Middle School,"(32.745510099, -89.538030825)",2GEN,1EDU,YTS08,8
2002,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,66.9,6.0,55.2,78.6,239,Female,Middle School,"(35.466220975, -79.159250463)",3GEN,1EDU,YTS06,6
2007,ND,Cigarette Use (Youth),Smoking Status,Current,6.8,1.1,4.7,8.9,1063,Female,Middle School,"(47.475319779, -100.118421049)",3GEN,1EDU,YTS07,7
2000,TN,Smokeless Tobacco Use (Youth),User Status,Ever,18.2,0.9,16.4,19.9,10548,Overall,Middle School,"(35.68094058, -85.774490914)",1GEN,1EDU,YTS11,11
2003,UT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Male,Middle School,"(39.360700171, -111.587130635)",2GEN,1EDU,YTS02,2
2000,DE,Cigarette Use (Youth),Smoking Status,Ever,65.7,1.4,62.9,68.4,1587,Male,High School,"(39.008830667, -75.577741168)",2GEN,2EDU,YTS08,8
2004,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,40.3,4.2,32.1,48.6,170,Male,High School,"(40.130570048, -74.273691288)",2GEN,2EDU,YTS05,5
2011,ND,Cigarette Use (Youth),Smoking Status,Ever,45.3,2.3,40.7,49.9,973,Male,High School,"(47.475319779, -100.118421049)",2GEN,2EDU,YTS08,8
2002,MS,Smokeless Tobacco Use (Youth),User Status,Frequent,3.2,0.7,1.9,4.6,1359,Male,Middle School,"(32.745510099, -89.538030825)",2GEN,1EDU,YTS12,12
2013,SC,Cigarette Use (Youth),Smoking Status,Frequent,1.4,0.4,0.6,2.2,809,Male,Middle School,"(33.998821303, -81.045371207)",2GEN,1EDU,YTS09,9
2014,NJ,Smokeless Tobacco Use (Youth),User Status,Frequent,0.1,0.1,0.0,0.3,2062,Overall,Middle School,"(40.130570048, -74.273691288)",1GEN,1EDU,YTS12,12
2013,HI,Smokeless Tobacco Use (Youth),User Status,Ever,3.2,1.1,1.1,5.3,1038,Female,Middle School,"(21.304850435, -157.857749403)",3GEN,1EDU,YTS11,11
2013,WV,Cigarette Use (Youth),Smoking Status,Ever,24.8,2.8,19.4,30.2,1022,Male,Middle School,"(38.665510202, -80.712640135)",2GEN,1EDU,YTS08,8
2008,IA,Cigarette Use (Youth),Smoking Status,Ever,41.2,3.5,34.3,48.1,628,Female,High School,"(42.469400913, -93.816490556)",3GEN,2EDU,YTS08,8
2007,UT,Smokeless Tobacco Use (Youth),User Status,Frequent,1.9,0.4,1.1,2.7,2036,Male,High School,"(39.360700171, -111.587130635)",2GEN,2EDU,YTS12,12
2003,RI,Smokeless Tobacco Use (Youth),User Status,Ever,7.2,0.8,5.7,8.8,1058,Female,High School,"(41.708280193, -71.522470314)",3GEN,2EDU,YTS11,11
2000,AZ,Cigarette Use (Youth),Smoking Status,Ever,36.5,2.1,32.4,40.6,970,Female,Middle School,"(34.86597028, -111.763811277)",3GEN,1EDU,YTS08,8
2002,MA,Cigarette Use (Youth),Smoking Status,Frequent,1.9,0.4,1.1,2.8,957,Male,Middle School,"(42.27687047, -72.082690675)",2GEN,1EDU,YTS09,9
2000,TN,Smokeless Tobacco Use (Youth),User Status,Current,1.9,0.3,1.3,2.5,5309,Female,Middle School,"(35.68094058, -85.774490914)",3GEN,1EDU,YTS10,10
2016,MS,Smokeless Tobacco Use (Youth),User Status,Current,1.5,0.6,0.4,2.6,785,Female,High School,"(32.745510099, -89.538030825)",3GEN,2EDU,YTS10,10
2006,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,37.6,5.9,26.1,49.1,58,Female,Middle School,"(32.745510099, -89.538030825)",3GEN,1EDU,YTS03,3
2002,OK,Cigarette Use (Youth),Smoking Status,Ever,37.3,2.5,32.5,42.2,1939,Overall,Middle School,"(35.472031356, -97.521070214)",1GEN,1EDU,YTS08,8
2009,SC,Smokeless Tobacco Use (Youth),User Status,Frequent,2.7,0.8,1.2,4.2,1074,Overall,High School,"(33.998821303, -81.045371207)",1GEN,2EDU,YTS12,12
2002,KS,Cigarette Use (Youth),Smoking Status,Frequent,1.7,0.6,0.5,2.9,699,Female,Middle School,"(38.3477403, -98.200781227)",3GEN,1EDU,YTS09,9
2009,GA,Cigarette Use (Youth),Smoking Status,Frequent,4.5,1.0,2.6,6.4,995,Female,High School,"(32.839681093, -83.627580346)",3GEN,2EDU,YTS09,9
2015,PA,Cigarette Use (Youth),Smoking Status,Frequent,0.2,0.1,0.0,0.5,1286,Male,Middle School,"(40.793730152, -77.860700294)",2GEN,1EDU,YTS09,9
2012,NJ,Smokeless Tobacco Use (Youth),User Status,Ever,15.9,1.7,12.6,19.2,889,Male,High School,"(40.130570048, -74.273691288)",2GEN,2EDU,YTS11,11
2005,ND,Cigarette Use (Youth),Smoking Status,Ever,25.6,3.4,19.0,32.2,544,Female,Middle School,"(47.475319779, -100.118421049)",3GEN,1EDU,YTS08,8
2013,MS,Cigarette Use (Youth),Smoking Status,Frequent,0.4,0.2,0.0,0.8,893,Female,Middle School,"(32.745510099, -89.538030825)",3GEN,1EDU,YTS09,9
2001,ID,Smokeless Tobacco Use (Youth),User Status,Current,4.8,0.6,3.6,6.0,922,Male,Middle School,"(43.682630005, -114.363730042)",2GEN,1EDU,YTS10,10
2003,ND,Cigarette Use (Youth),Smoking Status,Current,26.3,1.8,22.7,29.9,1638,Overall,High School,"(47.475319779, -100.118421049)",1GEN,2EDU,YTS07,7
2001,NJ,Smokeless Tobacco Use (Youth),User Status,Frequent,2.1,0.3,1.4,2.7,1883,Male,High School,"(40.130570048, -74.273691288)",2GEN,2EDU,YTS12,12
2009,OK,Smokeless Tobacco Use (Youth),User Status,Frequent,9.6,1.8,6.1,13.1,890,Male,High School,"(35.472031356, -97.521070214)",2GEN,2EDU,YTS12,12
2004,WI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Female,Middle School,"(44.393191174, -89.816370742)",3GEN,1EDU,YTS03,3
2009,SC,Smokeless Tobacco Use (Youth),User Status,Frequent,1.2,0.3,0.6,1.8,1314,Overall,Middle School,"(33.998821303, -81.045371207)",1GEN,1EDU,YTS12,12
2013,ND,Cigarette Use (Youth),Smoking Status,Current,3.4,0.5,2.4,4.4,1975,Overall,Middle School,"(47.475319779, -100.118421049)",1GEN,1EDU,YTS07,7
2000,TX,Smokeless Tobacco Use (Youth),User Status,Frequent,2.8,0.9,1.2,4.5,2260,Overall,High School,"(31.827240407, -99.426770206)",1GEN,2EDU,YTS12,12
2000,VT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,41.1,4.2,32.7,49.4,130,Overall,Middle School,"(43.625381239, -72.517640791)",1GEN,1EDU,YTS01,1
2000,CA,Smokeless Tobacco Use (Youth),User Status,Ever,5.9,1.4,3.2,8.5,1434,Female,High School,"(37.638640123, -120.999999538)",3GEN,2EDU,YTS11,11
2005,UT,Cigarette Use (Youth),Smoking Status,Current,10.3,1.7,7.0,13.6,3244,Overall,High School,"(39.360700171, -111.587130635)",1GEN,2EDU,YTS07,7
2000,WV,Smokeless Tobacco Use (Youth),User Status,Current,14.9,1.5,12.0,17.8,853,Male,Middle School,"(38.665510202, -80.712640135)",2GEN,1EDU,YTS10,10
2000,OK,Cigarette Use (Youth),Smoking Status,Ever,52.0,1.8,48.5,55.5,1549,Overall,Middle School,"(35.472031356, -97.521070214)",1GEN,1EDU,YTS08,8
1999,OK,Smokeless Tobacco Use (Youth),User Status,Frequent,2.8,0.6,1.7,3.9,1029,Male,Middle School,"(35.472031356, -97.521070214)",2GEN,1EDU,YTS12,12
2005,AR,Smokeless Tobacco Use (Youth),User Status,Current,2.6,0.6,1.5,3.7,1059,Female,Middle School,"(34.748650124, -92.274490743)",3GEN,1EDU,YTS10,10
2002,OH,Smokeless Tobacco Use (Youth),User Status,Frequent,1.2,0.6,0.1,2.4,779,Male,Middle School,"(40.060210141, -82.404260056)",2GEN,1EDU,YTS12,12
2006,WI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,59.0,4.8,49.6,68.4,142,Female,High School,"(44.393191174, -89.816370742)",3GEN,2EDU,YTS06,6
2002,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,55.0,6.5,42.2,67.7,144,Female,High School,"(32.840571122, -86.631860762)",3GEN,2EDU,YTS06,6
2008,WI,Cigarette Use (Youth),Smoking Status,Frequent,1.5,0.5,0.6,2.4,734,Female,Middle School,"(44.393191174, -89.816370742)",3GEN,1EDU,YTS09,9
2002,MS,Cigarette Use (Youth),Smoking Status,Frequent,10.8,1.8,7.3,14.3,1060,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS09,9
2009,NH,Smokeless Tobacco Use (Youth),User Status,Ever,14.8,1.4,12.1,17.5,1481,Overall,High School,"(43.655950113, -71.50036092)",1GEN,2EDU,YTS11,11
2004,WI,Smokeless Tobacco Use (Youth),User Status,Current,2.6,0.7,1.3,3.9,737,Female,High School,"(44.393191174, -89.816370742)",3GEN,2EDU,YTS10,10
2005,WV,Cigarette Use (Youth),Smoking Status,Current,28.9,2.8,23.5,34.3,653,Female,High School,"(38.665510202, -80.712640135)",3GEN,2EDU,YTS07,7
2011,WV,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,39.2,5.3,28.9,49.5,64,Male,Middle School,"(38.665510202, -80.712640135)",2GEN,1EDU,YTS02,2
2000,MD,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.1,0.1,0.4,11015,Female,Middle School,"(39.290580964, -76.609260111)",3GEN,1EDU,YTS12,12
2005,WV,Smokeless Tobacco Use (Youth),User Status,Frequent,0.9,0.5,0.0,2.0,653,Female,High School,"(38.665510202, -80.712640135)",3GEN,2EDU,YTS12,12
2012,DE,Smokeless Tobacco Use (Youth),User Status,Current,4.4,0.5,3.5,5.3,2221,Overall,High School,"(39.008830667, -75.577741168)",1GEN,2EDU,YTS10,10
2015,HI,Cigarette Use (Youth),Smoking Status,Current,7.4,0.9,5.6,9.1,1820,Overall,High School,"(21.304850435, -157.857749403)",1GEN,2EDU,YTS07,7
2007,MO,Smokeless Tobacco Use (Youth),User Status,Frequent,2.5,0.7,1.1,3.9,1308,Overall,High School,"(38.635790776, -92.566300053)",1GEN,2EDU,YTS12,12
1999,NJ,Cigarette Use (Youth),Smoking Status,Frequent,2.2,0.4,1.5,2.9,8371,Overall,Middle School,"(40.130570048, -74.273691288)",1GEN,1EDU,YTS09,9
2002,MS,Cigarette Use (Youth),Smoking Status,Current,23.3,1.6,20.2,26.5,2261,Overall,High School,"(32.745510099, -89.538030825)",1GEN,2EDU,YTS07,7
2010,MS,Cigarette Use (Youth),Smoking Status,Current,21.5,1.5,18.5,24.5,800,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS07,7
2016,WI,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.1,0.0,0.4,1589,Overall,Middle School,"(44.393191174, -89.816370742)",1GEN,1EDU,YTS12,12
2003,MS,Smokeless Tobacco Use (Youth),User Status,Current,6.4,0.5,5.4,7.4,11754,Overall,Middle School,"(32.745510099, -89.538030825)",1GEN,1EDU,YTS10,10
2003,AZ,Smokeless Tobacco Use (Youth),User Status,Frequent,0.1,0.1,0.0,0.4,1047,Female,Middle School,"(34.86597028, -111.763811277)",3GEN,1EDU,YTS12,12
2002,CT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.1,0.0,0.5,1575,Female,High School,"(41.56266102, -72.649840952)",3GEN,2EDU,YTS12,12
2012,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,65.1,4.0,57.3,72.9,141,Male,High School,"(32.840571122, -86.631860762)",2GEN,2EDU,YTS05,5
2004,NC,Smokeless Tobacco Use (Youth),User Status,Frequent,1.0,0.2,0.6,1.4,1538,Male,Middle School,"(35.466220975, -79.159250463)",2GEN,1EDU,YTS12,12
2004,AL,Smokeless Tobacco Use (Youth),User Status,Ever,24.3,2.8,18.8,29.9,676,Male,Middle School,"(32.840571122, -86.631860762)",2GEN,1EDU,YTS11,11
2009,OK,Smokeless Tobacco Use (Youth),User Status,Ever,9.8,1.2,7.5,12.1,871,Female,High School,"(35.472031356, -97.521070214)",3GEN,2EDU,YTS11,11
2002,MD,Cigarette Use (Youth),Smoking Status,Frequent,8.3,0.2,7.8,8.7,36794,Overall,High School,"(39.290580964, -76.609260111)",1GEN,2EDU,YTS09,9
2001,ME,Cigarette Use (Youth),Smoking Status,Frequent,2.0,0.4,1.3,2.7,6205,Female,Middle School,"(45.254228894001, -68.985031336)",3GEN,1EDU,YTS09,9
2013,WV,Cigarette Use (Youth),Smoking Status,Ever,49.3,2.8,43.8,54.8,833,Male,High School,"(38.665510202, -80.712640135)",2GEN,2EDU,YTS08,8
2013,LA,Cigarette Use (Youth),Smoking Status,Frequent,1.4,0.3,0.8,2.0,1980,Overall,Middle School,"(31.312660644, -92.445680071)",1GEN,1EDU,YTS09,9
2006,IL,Smokeless Tobacco Use (Youth),User Status,Current,4.8,3.1,0.0,10.9,625,Female,Middle School,"(40.485010283, -88.997710178)",3GEN,1EDU,YTS10,10
2003,AZ,Smokeless Tobacco Use (Youth),User Status,Current,1.8,0.5,0.8,2.8,813,Female,High School,"(34.86597028, -111.763811277)",3GEN,2EDU,YTS10,10
2003,MS,Smokeless Tobacco Use (Youth),User Status,Ever,14.1,0.9,12.4,15.8,11746,Overall,Middle School,"(32.745510099, -89.538030825)",1GEN,1EDU,YTS11,11
2000,KY,Smokeless Tobacco Use (Youth),User Status,Frequent,4.9,0.9,3.2,6.6,1284,Overall,High School,"(37.645970271, -84.774971048)",1GEN,2EDU,YTS12,12
2008,PA,Smokeless Tobacco Use (Youth),User Status,Ever,7.7,0.9,6.0,9.4,2336,Overall,Middle School,"(40.793730152, -77.860700294)",1GEN,1EDU,YTS11,11
2003,UT,Smokeless Tobacco Use (Youth),User Status,Ever,6.1,0.7,4.8,7.4,1311,Male,Middle School,"(39.360700171, -111.587130635)",2GEN,1EDU,YTS11,11
2011,SC,Smokeless Tobacco Use (Youth),User Status,Current,8.9,1.8,5.3,12.5,755,Male,Middle School,"(33.998821303, -81.045371207)",2GEN,1EDU,YTS10,10
2011,CT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,41.8,4.9,32.1,51.5,131,Male,High School,"(41.56266102, -72.649840952)",2GEN,2EDU,YTS02,2
2000,OK,Smokeless Tobacco Use (Youth),User Status,Ever,25.6,2.6,20.5,30.6,1569,Overall,Middle School,"(35.472031356, -97.521070214)",1GEN,1EDU,YTS11,11
2002,NE,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.2,0.1,0.8,2796,Overall,Middle School,"(41.641040988001, -99.365720623)",1GEN,1EDU,YTS12,12
2000,NE,Smokeless Tobacco Use (Youth),User Status,Ever,39.3,2.1,35.3,43.4,1549,Male,High School,"(41.641040988001, -99.365720623)",2GEN,2EDU,YTS11,11
2005,CT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.2,0.0,0.7,1062,Male,Middle School,"(41.56266102, -72.649840952)",2GEN,1EDU,YTS12,12
2002,DE,Smokeless Tobacco Use (Youth),User Status,Ever,14.0,1.5,11.1,17.0,2455,Overall,High School,"(39.008830667, -75.577741168)",1GEN,2EDU,YTS11,11
2010,OH,Smokeless Tobacco Use (Youth),User Status,Current,5.5,0.9,3.7,7.3,773,Male,Middle School,"(40.060210141, -82.404260056)",2GEN,1EDU,YTS10,10
2012,DE,Cigarette Use (Youth),Smoking Status,Frequent,5.5,0.8,3.9,7.1,1057,Male,High School,"(39.008830667, -75.577741168)",2GEN,2EDU,YTS09,9
2000,TX,Cigarette Use (Youth),Smoking Status,Ever,42.3,2.5,37.4,47.2,1029,Female,Middle School,"(31.827240407, -99.426770206)",3GEN,1EDU,YTS08,8
2016,WI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,,,,Male,Middle School,"(44.393191174, -89.816370742)",2GEN,1EDU,YTS05,5
2007,CT,Smokeless Tobacco Use (Youth),User Status,Ever,4.3,1.0,2.3,6.3,959,Female,High School,"(41.56266102, -72.649840952)",3GEN,2EDU,YTS11,11
2004,NJ,Smokeless Tobacco Use (Youth),User Status,Frequent,0.3,0.2,0.0,0.8,1194,Female,High School,"(40.130570048, -74.273691288)",3GEN,2EDU,YTS12,12
2002,FL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,59.7,1.8,56.1,63.3,739,Female,Middle School,"(28.932040377, -81.928960539)",3GEN,1EDU,YTS06,6
2014,MN,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,,,,Female,Middle School,"(46.355648736, -94.794200503)",3GEN,1EDU,YTS06,6
1999,GA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,47.3,7.3,33.0,61.6,79,Male,Middle School,"(32.839681093, -83.627580346)",2GEN,1EDU,YTS05,5
2011,ND,Smokeless Tobacco Use (Youth),User Status,Frequent,1.3,0.5,0.4,2.2,986,Male,Middle School,"(47.475319779, -100.118421049)",2GEN,1EDU,YTS12,12
2010,DE,Smokeless Tobacco Use (Youth),User Status,Ever,1.9,0.4,1.1,2.7,1082,Female,Middle School,"(39.008830667, -75.577741168)",3GEN,1EDU,YTS11,11
2004,VT,Smokeless Tobacco Use (Youth),User Status,Current,6.3,1.1,4.1,8.5,1423,Overall,High School,"(43.625381239, -72.517640791)",1GEN,2EDU,YTS10,10
2008,IA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Overall,Middle School,"(42.469400913, -93.816490556)",1GEN,1EDU,YTS01,1
2000,AL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,63.9,5.2,53.7,74.2,172,Female,High School,"(32.840571122, -86.631860762)",3GEN,2EDU,YTS03,3
2016,OK,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.3,0.0,1.1,1273,Female,Middle School,"(35.472031356, -97.521070214)",3GEN,1EDU,YTS12,12
2001,RI,Smokeless Tobacco Use (Youth),User Status,Current,3.8,0.7,2.5,5.1,1531,Overall,High School,"(41.708280193, -71.522470314)",1GEN,2EDU,YTS10,10
2002,FL,Cigarette Use (Youth),Smoking Status,Frequent,7.6,0.8,6.0,9.2,4239,Male,High School,"(28.932040377, -81.928960539)",2GEN,2EDU,YTS09,9
2014,OH,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,,,,Male,Middle School,"(40.060210141, -82.404260056)",2GEN,1EDU,YTS05,5
2011,HI,Smokeless Tobacco Use (Youth),User Status,Ever,4.1,1.2,1.8,6.4,659,Female,High School,"(21.304850435, -157.857749403)",3GEN,2EDU,YTS11,11
2002,NY,Smokeless Tobacco Use (Youth),User Status,Frequent,2.2,0.7,0.9,3.5,3501,Overall,High School,"(42.827001032, -75.543970427)",1GEN,2EDU,YTS12,12
2015,MO,Cigarette Use (Youth),Smoking Status,Ever,12.0,1.9,8.3,15.7,822,Male,Middle School,"(38.635790776, -92.566300053)",2GEN,1EDU,YTS08,8
2011,SC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,57.1,6.9,43.6,70.6,125,Male,High School,"(33.998821303, -81.045371207)",2GEN,2EDU,YTS05,5
2006,IL,Cigarette Use (Youth),Smoking Status,Ever,24.0,5.1,14.0,34.0,586,Female,Middle School,"(40.485010283, -88.997710178)",3GEN,1EDU,YTS08,8
2007,VA,Cigarette Use (Youth),Smoking Status,Current,4.6,0.9,2.9,6.3,775,Female,Middle School,"(37.542680674, -78.457890463)",3GEN,1EDU,YTS07,7
2008,LA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,47.5,5.4,37.0,58.0,115,Male,High School,"(31.312660644, -92.445680071)",2GEN,2EDU,YTS05,5
2009,CT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Female,Middle School,"(41.56266102, -72.649840952)",3GEN,1EDU,YTS03,3
2000,DE,Smokeless Tobacco Use (Youth),User Status,Ever,19.3,1.2,16.9,21.6,1590,Male,High School,"(39.008830667, -75.577741168)",2GEN,2EDU,YTS11,11
2002,DE,Smokeless Tobacco Use (Youth),User Status,Ever,22.8,2.5,17.9,27.7,1214,Male,High School,"(39.008830667, -75.577741168)",2GEN,2EDU,YTS11,11
2005,CT,Cigarette Use (Youth),Smoking Status,Frequent,7.5,1.0,5.5,9.5,1155,Female,High School,"(41.56266102, -72.649840952)",3GEN,2EDU,YTS09,9
2001,RI,Cigarette Use (Youth),Smoking Status,Ever,28.1,2.3,23.6,32.5,781,Male,Middle School,"(41.708280193, -71.522470314)",2GEN,1EDU,YTS08,8
